[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track] method: POST, url: /track, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track] method: POST, url: /track, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track] method: POST, url: /track, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track] method: POST, url: /track, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track/some-invalid-id] method: PUT, url: /track/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track/9a977ead-59ab-483e-b88f-8a5d6408fc4b] method: PUT, url: /track/9a977ead-59ab-483e-b88f-8a5d6408fc4b, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:31 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:32 ERROR [/track/87fcfa1c-06ab-4716-b4b2-effc7bcbac07] method: GET, url: /track/87fcfa1c-06ab-4716-b4b2-effc7bcbac07, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:32 ERROR [/track/some-invalid-id] method: DELETE, url: /track/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:32 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/some-invalid-id] method: GET, url: /user/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user] method: POST, url: /user, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user] method: POST, url: /user, status: 400, message: Bad Request
